"V1" "V2" "V3"
-0.141825063282711 0.11542297938075 -0.571698518889448
-0.201502113859509 0.212068356464317 -0.656853914713164
0.0390743915369407 0.0716782389640958 0.244308004553497
0.168923496541908 -0.351100969265946 0.418523358897958
0.422072051787726 0.604615084775672 0.399418476550058
-0.529299182059758 -0.900651115629158 -0.657655880287361
-0.988798163352124 -0.733659564017213 -0.974596245778138
-0.992289491098502 -0.702237953062852 -1.01091730738596
-0.68192020904964 -0.735748016608707 -0.503960603693873
-0.761265985319865 -0.325811751610732 -0.704657555816215
0.450254291851785 0.405851291859677 0.579044631442162
0.83994477530041 0.713141378702299 0.826428891201474
0.184872535121738 -0.110142316486206 0.261167943718355
-0.561821975636919 -0.38839151996493 -0.553917453650472
-0.774222735077663 -1.16127328106159 -0.811978880445887
0.527803376596182 0.286239157560518 0.717345054297013
